principio_ativo,nome_normalizado,forma_farmaceutica,unidade_dispensavel,concentracao_texto,via_administracao,aliases,fonte,versao_base
acetato de dexametasona,acetato de dexametasona 1 mg/g creme dermatológico,creme dermatológico,creme,1 mg/g,tópica,ACETATO DE DEXAMETASONA|CETADEX|CORTITOP|DEXADERMIL|DEXAGREEN|DEXAMETRAT|FURP-DEXAMETASONA|METADEX,ANVISA/CMED 2026-06,2026-06
acetato de dexametasona,"acetato de dexametasona 1,0 mg/g creme dermatológico",creme dermatológico,creme,"1,0 mg/g",tópica,ACETATO DE DEXAMETASONA|DEXAMEX,ANVISA/CMED 2026-06,2026-06
acetato de dexametasona,"acetato de dexametasona 1,00 mg/g creme dermatológico",creme dermatológico,creme,"1,00 mg/g",tópica,ACETATO DE DEXAMETASONA,ANVISA/CMED 2026-06,2026-06
acetato de dexametasona + clotrimazol,"acetato de dexametasona + clotrimazol 10 mg/g + 0,443 mg/g creme dermatológico",creme dermatológico,creme,"10 mg/g + 0,443 mg/g",tópica,BAYCUTEN N,ANVISA/CMED 2026-06,2026-06
acetato de fludrocortisona,"acetato de fludrocortisona 0,1 mg comprimido",comprimido,comprimido,"0,1 mg",oral,FLORINEFE,ANVISA/CMED 2026-06,2026-06
acetato de fluormetolona,acetato de fluormetolona 1 mg/ml suspensão oftálmica,suspensão oftálmica,suspensão,1 mg/ml,oftálmica,FLUTINOL,ANVISA/CMED 2026-06,2026-06
acetato de fluormetolona,"acetato de fluormetolona 1,0 mg/ml suspensão oftálmica",suspensão oftálmica,suspensão,"1,0 mg/ml",oftálmica,FLORATE,ANVISA/CMED 2026-06,2026-06
acetato de ganirrelix,"acetato de ganirrelix 0,5 mg/ml solução injetável",solução injetável,solução,"0,5 mg/ml",subcutânea,ORGALUTRAN,ANVISA/CMED 2026-06,2026-06
acetato de glatirâmer,acetato de glatirâmer 20 mg/ml solução injetável,solução injetável,solução,20 mg/ml,subcutânea,GLAMETIX,ANVISA/CMED 2026-06,2026-06
acetato de glatirâmer,acetato de glatirâmer 40 mg/ml solução injetável,solução injetável,solução,40 mg/ml,subcutânea,COPAXONE,ANVISA/CMED 2026-06,2026-06
acetato de gosserrelina,"acetato de gosserrelina 10,8 mg depot + ser preenc plas trans bs ct env al poliet x 1",,,"10,8 mg depot + ser preenc plas trans bs ct env al poliet x 1",,ZOLADEX,ANVISA/CMED 2026-06,2026-06
acetato de gosserrelina,"acetato de gosserrelina 3,6 mg depot + ser preenc plas trans bs ct env al poliet x 1",,,"3,6 mg depot + ser preenc plas trans bs ct env al poliet x 1",,ZOLADEX,ANVISA/CMED 2026-06,2026-06
acetato de hidrocortisona,acetato de hidrocortisona 10 mg/g creme dermatológico,creme dermatológico,creme,10 mg/g,tópica,ACETATO DE HIDROCORTISONA|CORTIGEN,ANVISA/CMED 2026-06,2026-06
acetato de icatibanto,acetato de icatibanto 10 mg/ml ct 1 ser x 3 ml + agulha,,,10 mg/ml ct 1 ser x 3 ml + agulha,,FIRAZYR,ANVISA/CMED 2026-06,2026-06
acetato de icatibanto,acetato de icatibanto 10 mg/ml solução injetável,solução injetável,solução,10 mg/ml,subcutânea,ACETATO DE ICATIBANTO|GULANDARIPA,ANVISA/CMED 2026-06,2026-06
acetato de lanreotida,acetato de lanreotida 120 mg suspensão injetável de liberação prolongada,suspensão injetável de liberação prolongada,suspensão,120 mg,subcutânea,SOMATULINE AUTOGEL,ANVISA/CMED 2026-06,2026-06
acetato de lanreotida,acetato de lanreotida 60 mg suspensão injetável de liberação prolongada,suspensão injetável de liberação prolongada,suspensão,60 mg,subcutânea,SOMATULINE AUTOGEL,ANVISA/CMED 2026-06,2026-06
acetato de lanreotida,acetato de lanreotida 90 mg suspensão injetável de liberação prolongada,suspensão injetável de liberação prolongada,suspensão,90 mg,subcutânea,SOMATULINE AUTOGEL,ANVISA/CMED 2026-06,2026-06
acetato de leuprorrelina,"acetato de leuprorrelina 11,25 mg pó liofilizado para suspensão injetável",pó liofilizado para suspensão injetável,pó,"11,25 mg",parenteral,LUPRON,ANVISA/CMED 2026-06,2026-06
acetato de leuprorrelina,"acetato de leuprorrelina 3,75 mg pó liofilizado para suspensão injetável",pó liofilizado para suspensão injetável,pó,"3,75 mg",parenteral,LECTRUM,ANVISA/CMED 2026-06,2026-06
acetato de leuprorrelina,"acetato de leuprorrelina 7,50 mg pó liofilizado para suspensão injetável",pó liofilizado para suspensão injetável,pó,"7,50 mg",parenteral,LECTRUM,ANVISA/CMED 2026-06,2026-06
acetato de leuprorrelina,"acetato de leuprorrelina 22,5 mg pó liofilizado para suspensão injetável de liberação prolongada",pó liofilizado para suspensão injetável de liberação prolongada,pó,"22,5 mg",subcutânea,ELIGARD,ANVISA/CMED 2026-06,2026-06
acetato de leuprorrelina,acetato de leuprorrelina 45 mg pó liofilizado para suspensão injetável de liberação prolongada,pó liofilizado para suspensão injetável de liberação prolongada,pó,45 mg,subcutânea,ELIGARD,ANVISA/CMED 2026-06,2026-06
acetato de leuprorrelina,"acetato de leuprorrelina 7,5 mg pó liofilizado para suspensão injetável de liberação prolongada",pó liofilizado para suspensão injetável de liberação prolongada,pó,"7,5 mg",subcutânea,ELIGARD,ANVISA/CMED 2026-06,2026-06
acetato de medroxiprogesterona,acetato de medroxiprogesterona 10 mg comprimido,comprimido,comprimido,10 mg,oral,PROVERA,ANVISA/CMED 2026-06,2026-06
acetato de medroxiprogesterona,acetato de medroxiprogesterona 150 mg/ml suspensão injetável,suspensão injetável,suspensão,150 mg/ml,intramuscular,CONTRACEP|DEMEDROX|DEPO-PROVERA,ANVISA/CMED 2026-06,2026-06
acetato de medroxiprogesterona + cipionato de estradiol,acetato de medroxiprogesterona + cipionato de estradiol 25 mg + 5 mg suspensão injetável,suspensão injetável,suspensão,25 mg + 5 mg,parenteral,ACETATO DE MEDROXIPROGESTERONA +CIPIONATO DE ESTRADIOL|CYCLOFEMINA|NAOMI,ANVISA/CMED 2026-06,2026-06
acetato de medroxiprogesterona + cipionato de estradiol,acetato de medroxiprogesterona + cipionato de estradiol 25 mg+ 5 mg suspensão injetável,suspensão injetável,suspensão,25 mg+ 5 mg,parenteral,ACETATO DE MEDROXIPROGESTERONA +CIPIONATO DE ESTRADIOL|CYCLOFEMINA|NAOMI,ANVISA/CMED 2026-06,2026-06
acetato de medroxiprogesterona + cipionato de estradiol,"acetato de medroxiprogesterona + cipionato de estradiol 25 mg/0,5 ml + 5 mg/0,5 ml suspensão injetável",suspensão injetável,suspensão,"25 mg/0,5 ml + 5 mg/0,5 ml",parenteral,ACETATO DE MEDROXIPROGESTERONA +CIPIONATO DE ESTRADIOL|LYNDAVELUNO|NAOMI,ANVISA/CMED 2026-06,2026-06
acetato de megestrol,acetato de megestrol 160 mg comprimido,comprimido,comprimido,160 mg,oral,FEMIGESTROL,ANVISA/CMED 2026-06,2026-06
acetato de metilprednisolona,acetato de metilprednisolona 40 mg/ml suspensão injetável,suspensão injetável,suspensão,40 mg/ml,intramuscular,DEPO-MEDROL|PREDI-MEDROL,ANVISA/CMED 2026-06,2026-06
acetato de noretisterona,acetato de noretisterona 10 mg comprimido,comprimido,comprimido,10 mg,oral,PRIMOLUT-NOR,ANVISA/CMED 2026-06,2026-06
acetato de octreotida,acetato de octreotida 10 mg pó para suspensão injetável,pó para suspensão injetável,pó,10 mg,parenteral,SANDOSTATIN,ANVISA/CMED 2026-06,2026-06
acetato de octreotida,acetato de octreotida 20 mg pó para suspensão injetável,pó para suspensão injetável,pó,20 mg,parenteral,SANDOSTATIN,ANVISA/CMED 2026-06,2026-06
acetato de octreotida,acetato de octreotida 30 mg pó para suspensão injetável,pó para suspensão injetável,pó,30 mg,parenteral,SANDOSTATIN,ANVISA/CMED 2026-06,2026-06
acetato de octreotida,"acetato de octreotida 0,05 mg/ml solução injetável",solução injetável,solução,"0,05 mg/ml",parenteral,SANDOSTATIN,ANVISA/CMED 2026-06,2026-06
acetato de octreotida,"acetato de octreotida 0,1 mg/ml solução injetável",solução injetável,solução,"0,1 mg/ml",parenteral,SANDOSTATIN,ANVISA/CMED 2026-06,2026-06
acetato de octreotida,"acetato de octreotida 0,10 mg/ml solução injetável",solução injetável,solução,"0,10 mg/ml",parenteral,OCTRIDE,ANVISA/CMED 2026-06,2026-06
acetato de octreotida,"acetato de octreotida 0,5 mg/ml solução injetável",solução injetável,solução,"0,5 mg/ml",parenteral,SANDOSTATIN,ANVISA/CMED 2026-06,2026-06
acetato de prednisolona,"acetato de prednisolona 1,2 mg/ml suspensão oc",suspensão oc,suspensão,"1,2 mg/ml",,PRED,ANVISA/CMED 2026-06,2026-06
acetato de prednisolona,acetato de prednisolona 10 mg/ml suspensão oc,suspensão oc,suspensão,10 mg/ml,,PRED,ANVISA/CMED 2026-06,2026-06
acetato de prednisolona,"acetato de prednisolona 1,2 mg/ml suspensão oftálmica",suspensão oftálmica,suspensão,"1,2 mg/ml",oftálmica,PRED|STER,ANVISA/CMED 2026-06,2026-06
